平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
四纸,上声,第三部,ai,箄唉史滓豸,哎哀埃挨捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜敗…,5/351
四纸,上声,第三部,ek,只,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/426
四纸,上声,第三部,eng,征,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
四纸,上声,第三部,i,妣指址芷峙秭庀氏蘼匕雉枲婢紫葸始被美秕鄙屺圯否仳靡芑枳麂圮纸迤纪俟舐喜匜畤巳俚嬉姊底你咫视旖痔绮砥旨技眯彼弛妓屣跂儗机珥坻嚭矢祉抵兕比痞跽里拟黹娌理玺杞履旎蟢豕己褫蓰起止蚁俾敉髀企沚齿徙笫埘趾弥李恃逦鲤几弭,稗陂卑背悲碑備备鞁憊惫鞴賁贲屄腟鼻疕魮𱇒庇畀痺毖陛狴閉闭敝蓖…,103/953
四纸,上声,第三部,ian,烜芊,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,2/581
四纸,上声,第三部,in,以矣侈苡已,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,5/278
四纸,上声,第三部,iu,鲔,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/326
四纸,上声,第三部,o,哆漯,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,2/385
四纸,上声,第三部,ua,倚花,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢華华嘩哗鏵铧驊…,2/114
四纸,上声,第三部,ue,揣,掰㧳杯揹背貝贝倍狽狈悖焙蓓碚誖褙輩辈鋇钡菠吹炊箠兌兑裰飛飞沸…,1/196
四纸,上声,第三部,ui,跪唯美匦觜髓诡桅揣簋晷洧垒累耒诔锤揆嶲委傀岿捶水宄棰蕊萎轨癸跬,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒膗踹膪圌吹炊垂陲搥槌箠…,31/462
四纸,上声,第三部,ur,呰峙訾氏士迩死驶纸俟汜此尔姒耔梓耜市涘耳似仔祀泚使是史仕子,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀次伺刺…,29/305
四纸,上声,第三部,urn,卺,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋巹堇僅仅廑瑾槿謹谨饉馑近劤靳…,1/63
五尾,上声,第三部,i,蚁亹尾虮唏扆岂几,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,8/960
五尾,上声,第三部,io,靴,標标膘鏢镖鑣镳表裱錶俵鰾鳔掉伽椒蕉叫藠轎轿掯撩描瞄廟庙尿薸票…,1/66
五尾,上声,第三部,u,猪,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/726
五尾,上声,第三部,ui,娓伟悱卉韪炜苇斐尾纬鬼玮菲蜰,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,14/463
五尾,上声,第三部,uin,棐榧匪,縣櫃匱危毀譭燬誹懸,3/12
五尾,上声,第三部,uinn,蜚虺,,2/2
六语,上声,第四部,eng,宁,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
六语,上声,第四部,eu,杼伫贮,初㧕苧梳疏絮佇貯,3/11
六语,上声,第四部,i,吕巨膂侣旅女予炬拒语御讵许茹榉秬莒距去苣举,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,21/960
六语,上声,第四部,ia,衙,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚…,1/138
六语,上声,第四部,iak,著,杓蘗綽绰菔皭爵嚼撂掠略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛…,1/65
六语,上声,第四部,inn,圉,編编鞭邊边扁便遍辮辫變变纏缠碱見见箭棉綿绵面麪麵拈年偏片薺荠…,1/63
六语,上声,第四部,o,诅俎阻础所楚,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄礎搓磋矬…,6/385
六语,上声,第四部,u,诅序鼠疽龃苴暑龉杼湑褚煮处墅抒叙纾咀苎茹浒黍渚圄绪糈沮杵楮汝溆,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,31/725
六语,上声,第四部,ur,许屿与柜,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,4/287
七麌,上声,第四部,am,淦,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,1/229
七麌,上声,第四部,ang,莽,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,1/523
七麌,上声,第四部,au,褛姥,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,2/486
七麌,上声,第四部,i,否矩雨窭,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,4/960
七麌,上声,第四部,ia,贾,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈檟槚价…,1/138
七麌,上声,第四部,iu,咻蒌,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,2/325
七麌,上声,第四部,o,砮孥噢,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,3/380
七麌,上声,第四部,ok,簿,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭亍齪龊蔟簇蹙蹴纛督毒獨…,1/298
七麌,上声,第四部,ong,牡,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,1/316
七麌,上声,第四部,ou,仵某蒌剖牡溇枸,煲哺補布步埠踄愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗豆逗鬥…,7/301
七麌,上声,第四部,u,鲁鄠𬣙弩偻虏肚羽祖怙取庑苦呜溥竖侮吐鼓贾盬诂部树舞虎府怒腐诩数武炷岵莆午伍麈普谱蛊篓圃伛褛栩杜沪脯辅昫罟努抚禹姥黼雨组迕鹉缕碔柱邬羖估土浒赌煦簿聚五宇庾嵝妩浦腑祜瘐妪怃亩愈父甫釜龋主拄母瞽拊股俯卤补斧户牯橹扈古琥堵乳,煲烳逋晡捕哺補布步佈怖埠肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨躇雛雏…,108/725
七麌,上声,第四部,ui,每缶,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,2/464
七麌,上声,第四部,ur,蒟踽,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,2/306
八荠,上声,第三部,ai,奶,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/355
八荠,上声,第三部,ek,昵,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/426
八荠,上声,第三部,i,涕棨眯邸柢娣坻洗缇底抵睨悌髀醍氐诋綮鲚砥礼米泥递体弥荠醴陛蠡弟澧济启,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,34/959
八荠,上声,第三部,ian,洗,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
八荠,上声,第三部,oih,挤,八捌拔擠裌夹夾莢荚節节截笠塞俠侠狹狭楔挾挟意代𩐅,1/25
八荠,上声,第三部,ur,泚,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此次伺…,1/308
九蟹,上声,第五部,a,罢洒,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷霸壩坝灞欛吧骲飽饱趵豹…,2/240
九蟹,上声,第五部,ai,买摆解矮骇楷豸蟹奶挨洒,哎哀埃唉捱皚皑藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺襬拜敗败稗…,11/355
九蟹,上声,第五部,o,伙,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
九蟹,上声,第五部,ua,罫,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣褂禾何和龢花華华嘩哗鏵铧驊…,1/116
九蟹,上声,第五部,uai,拐,乖𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪绘…,1/55
九蟹,上声,第五部,uat,撮,拔茇跋魃鼥般孛荸癶缽钵鉢撥拨餑饽勃脖渤鈸钹鵓鹁絀绌啜惙輟辍咄…,1/114
十贿,上声,第五部,ai,殆醢凯迨鼐改垲颏铠亥乃待载怠阂在宰海采恺骀叇彩欸闿,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,25/355
十贿,上声,第五部,i,诒,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
十贿,上声,第五部,ian,浼,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
十贿,上声,第五部,o,瘰,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/384
十贿,上声,第五部,uai,隗块汇,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯會会薈荟澮浍檜桧繪绘…,3/55
十贿,上声,第五部,ui,罪贿痿蓓猥儡喂蕾磊隗痱汇傀馁腿悔嵬每倍欸璀,杯卑背椑悲貝贝狽狈悖焙碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥棰槌…,21/464
十一轸,上声,第六部,ian,疹敏黾诊缜矧愍轸畛闵悯肾冁哂,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,14/582
十一轸,上声,第六部,im,忍讱朕,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨…,3/158
十一轸,上声,第六部,in,牝嶙膑赈尽荩引紧泯蜃蚓,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,11/280
十一轸,上声,第六部,un,囷纯蠢狁允陨窘涢胗吮准殒隼笋菌盾,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純脣淳蒓莼醇鶉鹑邨…,16/375
十一轸,上声,第六部,urn,尹,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤…,1/63
十一轸,上声,第六部,ut,窘,不鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩…,1/114
十二吻,上声,第六部,eng,听,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十二吻,上声,第六部,in,龀殷隐,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,3/280
十二吻,上声,第六部,un,缊刎酝蕴坟揾忿韫吻粉抆恽愤,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,13/377
十二吻,上声,第六部,urn,近瑾谨卺槿堇,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋巹僅仅廑謹饉馑劤靳殣覲觐均鈞…,6/61
十三阮,上声,第七部,an,阪,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍坂板版蝂闆扮辦办便…,1/319
十三阮,上声,第七部,ian,娩蝘烜远阮偃鼹鄢宛堰晚仙圈蹇𪩘犍,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,16/582
十三阮,上声,第七部,uan,谖沅阮卷婉饭畹琬苑晚反圈挽蜿绻返,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,16/431
十三阮,上声,第七部,uh,腯,哱欻鶻鹘呴焌窟噗入射吸㰵嘬,1/14
十三阮,上声,第七部,un,衮忖壸沌撙损焜本捆绲混棍鲧懑梱悃阃稳囤盾畚浑滚遁鳟辊笨,奔逩賁贲錛锛苯飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑蠢邨村…,27/377
十三阮,上声,第七部,urn,很恳垦龈,恩蒽摁根跟哏艮茛痕狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤靳…,4/63
十三阮,上声,第七部,ut,菀,不鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩…,1/114
十四旱,上声,第七部,an,坦悍懒罕缓侃袒亶散伞旱但趱谰秆诞蜑,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,17/319
十四旱,上声,第七部,iang,厂,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,1/262
十四旱,上声,第七部,uan,缵馆卵缓伴暖缎餪纂断盥算管款浣短莞逭脘琯拌满,般搬半柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜爨皴…,22/430
十四旱,上声,第七部,un,懑,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/376
十五潸,上声,第七部,am,羼,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,1/229
十五潸,上声,第七部,an,限蝂浐阪汕眼赧版铲拣板盏产潸,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍坂闆扮辦办便餐殘残…,14/317
十五潸,上声,第七部,ian,限眼柬栈简,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,5/582
十五潸,上声,第七部,uan,睆撰绾馔莞皖,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,6/432
十六铣,上声,第七部,an,单趁笕,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,3/318
十六铣,上声,第七部,eng,蜓,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十六铣,上声,第七部,i,洗,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
十六铣,上声,第七部,iam,撚,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,1/214
十六铣,上声,第七部,ian,剪萹癣娩勉典搴栈沴兖善显展𪾢单件颤跣趁缱湎畎蒇扁宴谫免辇铉翦沔筅遣谝演殄辗钱泫藓黾墡蜎缅碥辫燹琏谳蜒匾眄铣蚬践键褊冕辨衍饯狷浅餮鳝茧犬邅阐洗辩鲜蹇膳腆戬𪩘岘捵稨,辦办瓣蝙編编鞭邊边鯿鳊籩笾煸貶贬藊卞弁汴忭便遍辮辯變变廛澶禪…,80/582
十六铣,上声,第七部,ng,蝡,榜本甭倉仓艙舱長长腸肠川穿傳传瘡疮牀床創创刺邨村當当鐺铛荡盪…,1/159
十六铣,上声,第七部,oinn,趼,班斑板版辦办蠶蚕睇佃橂殿靛反蓋盖還还肩間间揀拣襇裥繭簡简看蓮…,1/55
十六铣,上声,第七部,uan,喘篆撰选娈脔软卷转,般搬半伴拌柈絆绊川穿舩船遄椽傳传串釧钏汆攛撺躥蹿鑹镩篡竄窜爨…,9/433
十六铣,上声,第七部,un,荈舛吮隽,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫舩船春椿純纯脣淳蒓莼醇鶉鹑蠢邨村…,4/376
十七筱,上声,第八部,au,麃晁少,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,3/489
十七筱,上声,第八部,iau,表沼侥窅晁赵晓膘僚筱窕殍绍夭眇淼缥小秒娇娆少挑扰缈鸟佻兆𫏋标肇茑杳绕缴硗舀鳔悄蓼藐嬲了挢皎缭渺皦掉愀袅矫窈杪燎剿昭旐,詏𬣦杓標瀌瘭鏢镖驃骠飆飙飈飚鑣镳婊裱錶俵鰾超朝嘲潮瘳刁叼汈凋…,58/413
十七筱,上声,第八部,iu,湫愀,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,2/326
十七筱,上声,第八部,ou,𫍲,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/338
十八巧,上声,第八部,a,挠,阿錒锕啊詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽趵豹礤…,1/232
十八巧,上声,第八部,au,卯鲍拗昴佼咬饱狡茆铰绞挠炒泖,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳奡傲奧奥隩嶴岙澳懊鏊…,14/491
十八巧,上声,第八部,iau,姣佼爪咬狡铰绞獠抓搅稍巧,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,12/414
十八巧,上声,第八部,ua,抓,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/116
十九皓,上声,第八部,au,杲拷岛恼栳媪嫂草套灏抱宝早稻造滈枣好纛燥瑙袄褓澡櫜祷葆缫燠老倒保堡考脑昊颢捣道浩栲缟镐懊鸨皂槁讨蚤涝藻埽皓,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼襖坳拗奡傲奧奥隩嶴岙澳鏊驁骜…,53/490
十九皓,上声,第八部,iang,娼,昌倀伥菖猖閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞廠…,1/262
十九皓,上声,第八部,iau,潦夭,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,2/413
十九皓,上声,第八部,iok,燠,隩畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉可克刻氪六陸陆淥…,1/147
十九皓,上声,第八部,ok,纛,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴督毒獨…,1/299
二十哿,上声,第九部,a,桠那么,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,3/240
二十哿,上声,第九部,ai,舵,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/355
二十哿,上声,第九部,an,瘅,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/319
二十哿,上声,第九部,e,爹,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗扯尺父華华藉籍加枷…,1/157
二十哿,上声,第九部,iau,么,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
二十哿,上声,第九部,iok,可,隩畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉克刻氪六陸陆淥渌…,1/147
二十哿,上声,第九部,o,舸輠朵峨果我椭坷柁坐哿跛傩颗伙脞琐轲婀垛簸颇硪妥哆荷蜾逻裹左惰蓏沱堕叵蠃火祸娑锁裸娜播埵可,阿襖袄薄保寶宝抱報报陂波玻菠嶓啵糙曹槽草初鋤锄楚礎础搓磋矬鹺…,45/385
二十哿,上声,第九部,oh,么,薄舶鉑铂駁驳箔礴觸触踔掇恶厄呃惡愕㕺閤阁閣鶴鹤駱骆落絡络摞犖…,1/73
二十哿,上声,第九部,ua,颇,貝贝大帶带蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧驊骅化…,1/111
二十哿,上声,第九部,uan,卵,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/431
二十哿,上声,第九部,ue,揣,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠吹炊棰箠兌兑裰飛…,1/197
二十哿,上声,第九部,ui,揣,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒膗踹膪圌吹炊垂陲捶搥棰…,1/463
二十一马,上声,第十部,a,马娅打痄槎把鲊那玛姹洒,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵豹…,11/239
二十一马,上声,第十部,ai,鲑洒,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,2/355
二十一马,上声,第十部,e,惹哑者野假且瘕赭泻写若社舍扯冶也姐,嗄扒爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗尺爹父華华藉籍加枷家…,17/152
二十一马,上声,第十部,ia,夏斝喏雅社下厦槚贾也,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉賈檟价架嫁…,10/127
二十一马,上声,第十部,iak,若,杓蘗綽绰菔皭爵嚼撂掠略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊弱婼蒻箬篛勺…,1/65
二十一马,上声,第十部,it,疋,筆笔必苾蓽荜嗶哔鉍铋觱篳筚蹕跸癟瘪叱熾炽得鍀锝迭昳佛蝠嫉瘠蹐…,1/100
二十一马,上声,第十部,o,輠哆髁,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,3/385
二十一马,上声,第十部,u,嘏贾,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,2/726
二十一马,上声,第十部,ua,耍瓦踝,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,3/116
二十一马,上声,第十部,uai,鲑,乖拐𧊅柺夬怪噲哙鮭劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪绘…,1/55
二十一马,上声,第十部,uan,寡,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
二十一马,上声,第十部,ui,鲑,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈𠡒揣膗踹膪圌吹炊垂陲捶搥棰…,1/463
二十二养,上声,第二部,ang,奘慷朗蒡怆阆吭榜苍莽蟒沆脏荡谠傥党曩倘嗓,骯肮昂邦梆浜幫帮綁绑膀蚌棒傍稖磅謗谤崩繃绷甏蹦倉仓蒼滄沧艙舱…,20/520
二十二养,上声,第二部,ian,鲞,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
二十二养,上声,第二部,iang,象长杖桨蒋强仰痒丈享壤厂响鞅掌魉昶想仗橡飨养向泱上蛘氅镪像怏襁攘饷两奖穰抢赏敞,昌倀伥菖猖娼閶阊鯧鲳長萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿廠倡鬯…,39/262
二十二养,上声,第二部,o,帑,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
二十二养,上声,第二部,ong,盎,幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩冬東东咚氡蝀鼕董…,1/316
二十二养,上声,第二部,u,驵,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/726
二十二养,上声,第二部,uang,幌仿枉谎魍辋往放爽罔惘慌纺广磉滉晃昉颡网恍,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房倣舫紡訪访髣封風风瘋疯觥光洸…,21/162
二十三梗,上声,第十一部,a,打,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
二十三梗,上声,第十一部,eng,憬睛悻阱惺屏哽埂儆猛景境领冷省并幸丙靓颈绠岭请鲠静皿狰井靖蜢秉顷梗郢整逞警瘿邴婧炳璟杏饼影,浜奔栟崩繃绷迸煸冰兵柄餅併並病噌曾層层蹭嘗尝琤偁稱称撐撑赬赪…,45/581
二十三梗,上声,第十一部,ian,黾,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/579
二十三梗,上声,第十一部,iang,骋,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,1/261
二十三梗,上声,第十一部,iong,永,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,1/184
二十三梗,上声,第十一部,uang,矿,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋…,1/163
二十三梗,上声,第十一部,ueng,颖耿颍,橫横衡蘅薨弘宏泓傾倾頃惸煢茕潁穎孕幕慢緩賺菅顏攢淵銑萑樊宣冤…,3/257
二十四迥,上声,第十一部,eng,顶鼎肯铤等醒拯溟挺町冥酊莛酩胫刭茗泞梃艇,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,20/584
